License Number,License Designation,Business Name,DBA,Record Status,Expiration Date,Business Organization Structure,Business Phone,City,Lat,Lng
M10-18-0000172-TEMP,Adult-Use Medicinal,HTP GROUP,,Active,11/1/2018,Corporation,7074842465,Vallejo,38.1134,-122.2359
M10-17-0000108-TEMP,Adult-Use Medicinal,Life Enhancement Services,,Active,10/28/2018,Corporation,7076548842,Vallejo,38.1134,-122.2359
A10-18-0000320-TEMP,Adult-Use Medicinal,California Collective Care,,Active,10/26/2018,Corporation,7077041960,Vallejo,38.1134,-122.2359
A10-18-0000296-TEMP,Adult-Use Medicinal,US BLOOM COLLECTIVE,US Bloom Collective,Active,10/5/2018,Corporation,7075610716,Vallejo,38.1134,-122.2359
A10-18-0000288-TEMP,Adult-Use Medicinal,Home Grown Holistic Collective Inc,,Active,9/28/2018,Limited Liability Company,7077212212,Vallejo,38.1134,-122.2359
A10-18-0000287-TEMP,Adult-Use Medicinal,better health group,better health group,Active,9/28/2018,Corporation,7075018259,Vallejo,38.1134,-122.2359
A10-18-0000283-TEMP,Adult-Use Medicinal,ENHANCED ENERGIES,Vallejo Relief Center,Active,9/27/2018,Corporation,7185103004,Vallejo,38.1134,-122.2359
A10-18-0000286-TEMP,Adult-Use Medicinal,Monterey County Patients Group,MCPG 3PG Happy Herbs,Active,9/27/2018,Corporation,7075671790,Vallejo,38.1134,-122.2359
M10-18-0000206-TEMP,Adult-Use Medicinal,releaf Alternative Cooperative Inc,reLeaf,Active,8/17/2018,Corporation,9167302196,Vallejo,38.1134,-122.2359
M10-18-0000208-TEMP,Medicinal,"Green Gold Cultivators, Inc.",Green Gold Cultivators,Active,8/17/2018,Corporation,2096748008,San Andreas,38.1912,-120.6763
M10-18-0000237-TEMP,Medicinal,"CALAVERAS NATURALS, INC.",Calaveras Little Trees,Active,11/25/2018,Corporation,2098903647,Arnold,38.2423,-120.3546
A10-17-0000052-TEMP,Adult-Use Medicinal,Mercy Wellness,Mercy Wellness,Active,10/28/2018,Corporation,7077951600,Cotati,38.3278,-122.7092
A10-17-0000074-TEMP,Adult-Use Medicinal,Responsible Patient Care,SPARC,Active,10/28/2018,Corporation,7073871517,Sebastopol,38.4001,-122.8277
A10-17-0000042-TEMP,Adult-Use Medicinal,Gravenstein 116 LLC,Solful,Active,10/28/2018,Limited Liability Company,4157943363,Sebastopol,38.4001,-122.8277
A10-18-0000177-TEMP,Adult-Use Medicinal,"Sonoma Patient Group, Inc.",,Active,11/20/2018,Corporation,7075262800,Santa Rosa,38.4465,-122.7059
M10-18-0000159-TEMP,Medicinal,"Organic Cannabis Foundation, LLC",Organicann,Active,10/31/2018,Limited Liability Company,7075888811,Santa Rosa,38.4465,-122.7059
M10-18-0000289-TEMP,Medicinal,"SMH Resources, Inc.",Sonoma Medicinal Herbs Patient to Patient Collective,Active,9/6/2018,Corporation,7075951823,Santa Rosa,38.4465,-122.7059
A10-18-0000186-TEMP,Adult-Use Medicinal,Alternatives a Health Collective,Alternatives a Health Collective,Active,8/27/2018,Corporation,4152508888,Santa Rosa,38.4465,-122.7059
A10-18-0000178-TEMP,Adult-Use Medicinal,Responsible Patient Care,SPARC,Active,8/22/2018,Corporation,7073871517,Santa Rosa,38.4465,-122.7059
A10-18-0000333-TEMP,Adult-Use Medicinal,"M.E.H.C., INCORPORATED",DIXON WELLNESS,Active,8/22/2018,Corporation,9166789282,Dixon,38.4466,-121.825
M10-18-0000224-TEMP,Medicinal,"Riverside Wellness, Inc",,Active,11/20/2018,Corporation,7078698008,Guerneville,38.5137,-122.9894
C10-18-0000026-TEMP,Adult-Use Medicinal,Davis Cannabis Collective,Davis Cannabis Collective (DCC),Active,11/28/2018,Corporation,9162304466,Davis,38.5552,-121.7365
C10-18-0000020-TEMP,Adult-Use Medicinal,"DAVISVILLE BUSINESS ENTERPRISES, INC.",F Street Dispensary,Active,11/17/2018,Corporation,5305743147,Davis,38.5552,-121.7365
A10-18-0000216-TEMP,Adult-Use Medicinal,"Safe Capitol Compassion Cooperative, Inc.",,Active,11/29/2018,Limited Liability Company,9162543287,Sacramento,38.5666,-121.4683
A10-18-0000343-TEMP,Adult-Use Medicinal,A.T.A.C.H.S. Inc.,A Therapeutic Alternative,Active,11/24/2018,Corporation,9168224717,Sacramento,38.5666,-121.4683
M10-18-0000203-TEMP,Adult-Use Medicinal,Sharp Source,THC,Active,11/14/2018,Corporation,9164764431,Sacramento,38.5666,-121.4683
A10-18-0000163-TEMP,Adult-Use Medicinal,"Doc's Cooperative, Inc.",Doctor's Orders,Active,11/14/2018,Corporation,9165642112,Sacramento,38.5666,-121.4683
A10-18-0000148-TEMP,Adult-Use Medicinal,Mama N Pops Inc,515 Broadway,Active,11/8/2018,Corporation,9168656474,Sacramento,38.5666,-121.4683
A10-18-0000149-TEMP,Adult-Use,Septem Coma Inc.,South Sacramento Care Center,Active,11/8/2018,Corporation,9163931820,Sacramento,38.5666,-121.4683
A10-18-0000150-TEMP,Adult-Use Medicinal,"Perchta, Inc. A California Mutual Benefit Corp.",House of Organics,Active,11/8/2018,Corporation,9163813769,Sacramento,38.5666,-121.4683
A10-18-0000144-TEMP,Adult-Use,Metro Health Systems,Green Door Metro,Active,11/7/2018,Corporation,5108121600,Sacramento,38.5666,-121.4683
A10-18-0000134-TEMP,Adult-Use Medicinal,Safe Accessible Solutions,,Active,11/6/2018,Corporation,9163869840,Sacramento,38.5666,-121.4683
A10-18-0000130-TEMP,Adult-Use Medicinal,CC101,,Active,11/5/2018,Corporation,9163876233,Sacramento,38.5666,-121.4683
A10-18-0000129-TEMP,Adult-Use Medicinal,Hugs Alternative Care,,Active,11/5/2018,Corporation,9167084095,Sacramento,38.5666,-121.4683
A10-18-0000127-TEMP,Adult-Use Medicinal,"C9 Alliance Cooperative, Inc.",Cloud 9,Active,11/4/2018,Corporation,9163878605,Sacramento,38.5666,-121.4683
M10-18-0000163-TEMP,Adult-Use Medicinal,California Naturopathic Agricultural Association #7,Alpine Alternative,Active,11/1/2018,Corporation,9162174053,Sacramento,38.5666,-121.4683
A10-18-0000118-TEMP,Adult-Use Medicinal,Sacramento Commercial Services,Florin Wellness Center,Active,11/1/2018,Corporation,9167060563,Sacramento,38.5666,-121.4683
A10-17-0000093-TEMP,Adult-Use Medicinal,"Valley Health Options Collective, Inc.",,Active,10/28/2018,Corporation,9165243194,Sacramento,38.5666,-121.4683
A10-17-0000095-TEMP,Adult-Use Medicinal,ALTERNATIVE MEDICAL CENTER,AMC,Active,10/28/2018,Corporation,9165641100,Sacramento,38.5666,-121.4683
A10-17-0000094-TEMP,Adult-Use Medicinal,GOLDEN HEALTH & WELLNESS,,Active,10/28/2018,Corporation,9166466340,Sacramento,38.5666,-121.4683
M10-17-0000139-TEMP,Adult-Use Medicinal,"G.S.H.L.E., Inc.",Green Solutions,Active,10/28/2018,Corporation,9166000583,Sacramento,38.5666,-121.4683
M10-17-0000131-TEMP,Adult-Use Medicinal,Community Health Solutions,,Active,10/28/2018,Corporation,9167127263,Sacramento,38.5666,-121.4683
M10-17-0000135-TEMP,Adult-Use Medicinal,Roseville Gold,Two Rivers Wellness,Active,10/28/2018,Corporation,9166000583,Sacramento,38.5666,-121.4683
A10-17-0000092-TEMP,Adult-Use Medicinal,Sacramento Community Cannabis Collective,Connected Sacramento,Active,10/28/2018,Corporation,9164751857,Sacramento,38.5666,-121.4683
A10-17-0000080-TEMP,Adult-Use Medicinal,"Migliore, LLC",Abatin Wellness Center,Active,10/28/2018,Limited Liability Company,3107410888,Sacramento,38.5666,-121.4683
A10-17-0000066-TEMP,Adult-Use Medicinal,"PDEE, INC",All About Wellness,Active,10/28/2018,Corporation,9164544327,Sacramento,38.5666,-121.4683
A10-17-0000091-TEMP,Adult-Use Medicinal,River City Phoenix,,Active,10/28/2018,Corporation,9167084095,Sacramento,38.5666,-121.4683
A10-18-0000317-TEMP,Adult-Use Medicinal,Horizon Nonprofit Collective,,Active,10/23/2018,Corporation,9168708067,Sacramento,38.5666,-121.4683
A10-18-0000254-TEMP,Adult-Use Medicinal,DELTA HEALTH & WELLNESS,,Active,9/7/2018,Corporation,9162319934,Sacramento,38.5666,-121.4683
A10-18-0000147-TEMP,Adult-Use Medicinal,"P.S.A.C., Inc.",Zen Garden Wellness,Active,8/10/2018,Corporation,4158904480,Sacramento,38.5666,-121.4683
M10-18-0000333-TEMP,Medicinal,Highlands Health and Wellness Collective,Highlands Health and Wellness,Active,10/5/2018,Corporation,9162137035,Shingle Springs,38.6666,-120.937
M10-18-0000302-TEMP,Medicinal,All Natural Inc.,medical marijuana dispensary,Active,9/12/2018,Corporation,5306764032,Shingle Springs,38.6666,-120.937
M10-18-0000207-TEMP,Medicinal,River City Wellness Pain Management,foothill health and wellness,Active,8/17/2018,Corporation,5306764532,Shingle Springs,38.6666,-120.937
C10-18-0000025-TEMP,Medicinal,Medical Marijuana Caregivers Association,MMCA,Active,11/24/2018,,5306775362,Cameron Park,38.6733,-120.9871
A10-18-0000192-TEMP,Adult-Use Medicinal,"HT, Inc",High Tides,Active,11/26/2018,Corporation,7078841882,Gualala,38.7657,-123.5281
A10-18-0000323-TEMP,Adult-Use Medicinal,Green Spirit Mendocino LLC,,Active,10/29/2018,Limited Liability Company,2148088649,Point Arena,38.9123,-123.6956
A10-18-0000136-TEMP,Adult-Use Medicinal,"HERBAL COOPERATIVE, INC.",Lakeside Herbal Solutions,Active,11/6/2018,Corporation,7079943721,Clearlake,38.959,-122.6331
A10-18-0000361-TEMP,Adult-Use Medicinal,Ycniuq Inc,Triple C Collective,Active,9/14/2018,Corporation,7077014160,Clearlake,38.959,-122.6331
A10-18-0000191-TEMP,Adult-Use,"D & M COMPASSION CENTER, LLC",D & M COMPASSION CENTER,Active,8/28/2018,Limited Liability Company,7075305681,Clearlake,38.959,-122.6331
A10-17-0000048-TEMP,Adult-Use Medicinal,Emerald Pharms,,Active,10/28/2018,Corporation,9164200173,Hopland,38.9691,-123.1173
M10-17-0000110-TEMP,Medicinal,Golden State Patient Care,,Active,10/28/2018,Sole Proprietorship,5302634921,Colfax,39.0938,-120.9533
A10-17-0000033-TEMP,Adult-Use Medicinal,REVOLUTION EMPORIUM,retail cannabis dispensary,Active,10/28/2018,General Partnership,744840248,Ukiah,39.1461,-123.2101
C10-18-0000008-TEMP,Medicinal,"Ukiah Valley Holistics, Inc",Cannavine,Active,10/19/2018,Corporation,7075991831,Ukiah,39.1461,-123.2101
A10-18-0000334-TEMP,Adult-Use Medicinal,Honeydew Solutions corp,,Active,8/22/2018,Corporation,7075018258,Ukiah,39.1461,-123.2101
A10-18-0000145-TEMP,Adult-Use Medicinal,Compassionate Heart Mutual Benefit Association,,Active,8/10/2018,Sole Proprietorship,7074625100,Ukiah,39.1461,-123.2101
M10-18-0000326-TEMP,Medicinal,"ELEVATION 2477, LLC",,Active,9/28/2018,Limited Liability Company,5303201193,Nevada City,39.2608,-121.0231
A10-18-0000157-TEMP,Adult-Use Medicinal,"The Leonard Moore Cooperative, Inc.",,Active,11/13/2018,Corporation,7079374562,Mendocino,39.311,-123.7908
A10-17-0000058-TEMP,Adult-Use Medicinal,"Love In It Cooperative, Inc",,Active,10/28/2018,Corporation,7079373123,Mendocino,39.311,-123.7908
A10-18-0000209-TEMP,Adult-Use Medicinal,Sunshine Holistic,Sovereign,Active,11/29/2018,Corporation,7072231129,Fort Bragg,39.4416,-123.8033
A10-18-0000146-TEMP,Adult-Use Medicinal,North Coast Wellbeing INC,Dragonfly Wellness Center,Active,8/10/2018,Corporation,4155172833,Fort Bragg,39.4416,-123.8033
M10-18-0000171-TEMP,Adult-Use Medicinal,HERITAGE HOLDING OF CALIFORNIA INC,Artifact,Active,11/1/2018,Corporation,7078416023,Laytonville,39.6715,-123.4945
A10-18-0000169-TEMP,Adult-Use,1L Tree Lounge LLC,,Active,8/20/2018,Limited Liability Company,4153024688,Garberville,40.1003,-123.7948
A10-17-0000037-TEMP,Adult-Use Medicinal,"Tim and Mike Enterprises, LLC",The Queen of Dragons,Active,10/28/2018,Limited Liability Company,5302769771,Shasta Lake,40.679,-122.3775
A10-17-0000065-TEMP,Adult-Use Medicinal,Leave it to Nature,Leave it to Nature,Active,10/28/2018,Corporation,5302279298,Shasta Lake,40.679,-122.3775
A10-17-0000004-TEMP,Adult-Use Medicinal,530 COLLECTIVE,530 CANNABIS,Active,10/28/2018,Corporation,5309490501,Shasta Lake,40.679,-122.3775
C10-18-0000023-TEMP,Adult-Use Medicinal,"ECOCANN, INC","ECOCANN, INC",Active,11/20/2018,,7075720850,Eureka,40.7941,-124.1568
A10-18-0000138-TEMP,Adult-Use Medicinal,My Golden Green Inc.,The Humboldt County Collective,Active,11/6/2018,Corporation,7074422420,Eureka,40.7941,-124.1568
A10-18-0000367-TEMP,Adult-Use Medicinal,CannaBoutique Dispensary LLC,Two One Five Dispensary,Active,10/4/2018,Limited Liability Company,3233849977,Eureka,40.7941,-124.1568
A10-18-0000263-TEMP,Adult-Use Medicinal,"SWCO, inc",Satori Wellness,Active,9/12/2018,Corporation,7074996202,Mckinleyville,40.9488,-124.0857
A10-17-0000024-TEMP,Adult-Use,Mt Shasta Patients Collective,,Active,10/28/2018,Corporation,5309266337,Mount Shasta,41.3206,-122.315
A10-17-0000076-TEMP,Adult-Use Medicinal,The Green Heart Collective. org,The Green Heart,Active,10/28/2018,Corporation,5309410291,Mount Shasta,41.3206,-122.315
A10-18-0000360-TEMP,Adult-Use Medicinal,"Accensus Group, LLC",Canna Trading Company,Active,9/13/2018,Limited Liability Company,4152751925,Weed,41.4127,-122.3815
A10-18-0000350-TEMP,Adult-Use Medicinal,La Florista,,Active,8/30/2018,Corporation,5309256482,Weed,41.4127,-122.3815
A10-18-0000307-TEMP,Adult-Use Medicinal,Robertson Caregivers Beverlywood,,Active,10/12/2018,Corporation,6268383321,Arleta,34.2505,-118.4338
M10-18-0000398-TEMP,Medicinal,"Central Coast Wellness, LLC",Central Coast Wellness Center,Active,8/29/2018,Limited Liability Company,5596901898,Ben Lomod,37.0891,-122.0864
A10-18-0000321-TEMP,Adult-Use Medicinal,"Divine Wellness Center, Inc.",,Active,10/26/2018,Corporation,8188884846,Canoga Park,34.2083,-118.6059
A10-18-0000200-TEMP,Adult-Use Medicinal,"CALIFORNIA'S FINEST COMPASSIONATE COOPERATIVE, INC.",COAST TO COAST AND 3C MEDICAL,Active,8/30/2018,Corporation,8187120535,Canoga Park,34.2083,-118.6059
A10-17-0000081-TEMP,Adult-Use Medicinal,BSCB Enterprises LLC,Big Sur Cannabotanicals,Active,10/28/2018,Limited Liability Company,8312507756,Carmel,36.5552,-121.9233
A10-18-0000366-TEMP,Adult-Use Medicinal,WE CARE CAT CITY,,Active,10/2/2018,Corporation,2483186481,Cathedral Cty,33.7805,-116.4668
C10-18-0000024-TEMP,Adult-Use Medicinal,HYPERION HEALING,,Active,11/24/2018,Corporation,3108934856,Chatsworth,34.2506,-118.6148
C10-18-0000006-TEMP,Adult-Use Medicinal,"Superior Herbal Health, LLC",,Active,10/19/2018,Limited Liability Company,3108013959,Chatsworth,34.2506,-118.6148
A10-18-0000280-TEMP,Adult-Use Medicinal,Universal Herbal Center LLC,The Marijuana Factory,Active,9/25/2018,Limited Liability Company,3108673853,Chatsworth,34.2506,-118.6148
M10-18-0000193-TEMP,Medicinal,Bynate Cooperative Corporation,,Active,11/8/2018,Corporation,2095857699,Crowslanding,37.3937,-121.0721
M10-18-0000416-TEMP,Adult-Use Medicinal,SO CAL MM PATIENTS ASSOCIATION,All About Bud,Active,9/28/2018,Corporation,7606716466,Dsrt Hot Spgs,33.9611,-116.5017
A10-18-0000328-TEMP,Adult-Use Medicinal,CV Wellness,IVTHC,Active,8/9/2018,Corporation,7609890866,Dsrt Hot Spgs,33.9611,-116.5017
A10-18-0000175-TEMP,Adult-Use Medicinal,"Welcome The Healing Touch, Inc.",,Active,8/22/2018,Corporation,8188811462,Encino,34.1517,-118.5214
M10-17-0000132-TEMP,Medicinal,"ASG NORTH BAY, INC.",Redwood Herbal Alliance,Active,10/28/2018,Corporation,7075283632,Larkfield- Wikiup,38.5145,-122.7577
M10-18-0000293-TEMP,Adult-Use Medicinal,"Gourmet Green Room, Inc.",GGR,Active,9/7/2018,Corporation,6023125232,Los Angles,34.0522,-118.2437
C10-18-0000002-TEMP,Adult-Use Medicinal,"K.U.S.H. Alley Collective, Inc.",,Active,10/9/2018,Corporation,8188109642,North Hills,34.2358,-118.4849
A10-18-0000174-TEMP,Adult-Use Medicinal,"DOWNTOWN COLLECTIVE, INC.",ZEN NOHO,Active,11/20/2018,Corporation,8184873737,North Hollywood,34.187,-118.3813
A10-18-0000297-TEMP,Adult-Use Medicinal,"Sunset Herbal Corner, Inc.",,Active,10/8/2018,Corporation,3234592227,North Hollywood,34.187,-118.3813
A10-18-0000277-TEMP,Adult-Use Medicinal,"NORTH HOLLYWOOD COMPASSIONATE CAREGIVERS, INC.",,Active,9/21/2018,Corporation,8183999715,North Hollywood,34.187,-118.3813
A10-18-0000268-TEMP,Adult-Use Medicinal,Smart Collective Corporation,Smart Collective Inc,Active,9/14/2018,Corporation,8187266667,North Hollywood,34.187,-118.3813
A10-18-0000257-TEMP,Adult-Use Medicinal,"Resource Referral Services, Inc.",GVC,Active,9/7/2018,Corporation,7143506354,North Hollywood,34.187,-118.3813
M10-18-0000299-TEMP,Adult-Use Medicinal,"Cantodiem Dispensing Collective, Inc.",,Active,9/7/2018,Corporation,8188211209,North Hollywood,34.187,-118.3813
A10-18-0000213-TEMP,Adult-Use Medicinal,"California Compassionate Care Network, Inc.",,Active,8/31/2018,Corporation,8189806337,North Hollywood,34.187,-118.3813
A10-17-0000030-TEMP,Adult-Use Medicinal,Desert Organic Solutions Collective,,Active,10/28/2018,Corporation,7602884000,North Palm Springs,33.8303,-116.5453
A10-18-0000260-TEMP,Adult-Use Medicinal,Circle of Hope Alliance,,Active,9/12/2018,Corporation,8188106074,Northridge,34.2381,-118.5301
A10-18-0000222-TEMP,Adult-Use Medicinal,Compassionate Patient Resources,CPR,Active,9/3/2018,Corporation,8189964277,Northridge,34.2381,-118.5301
A10-18-0000298-TEMP,Adult-Use Medicinal,Nile Cooperative Corporation,Green City Collective / Nile Collective,Active,10/8/2018,Corporation,3104290380,Playa Del Rey,33.9564,-118.4422
A10-18-0000295-TEMP,Adult-Use Medicinal,"Mission Hills Patient Collective, INC",Mission Hills Patient Collective,Active,10/4/2018,Corporation,8187467313,Reseda,34.2011,-118.5361
A10-18-0000166-TEMP,Adult-Use Medicinal,THE HIGHER PATH PATIENTS' ASSOCIATION,THE HIGHER PATH,Active,8/17/2018,Corporation,8183851224,Sherman Oaks,34.149,-118.4514
A10-18-0000173-TEMP,Adult-Use Medicinal,"Perennial Holistic Wellness Center, Inc.",Perennial Holistic Wellness Center,Active,11/20/2018,Corporation,3107386100,Studio City,34.1396,-118.3871
A10-18-0000319-TEMP,Adult-Use Medicinal,DEC MEDICAL,CANNASUTRA,Active,10/25/2018,Corporation,8183928302,Studio City,34.1396,-118.3871
A10-18-0000221-TEMP,Adult-Use Medicinal,"The Wellness Earth Energy Dispensary, Inc.",,Active,9/3/2018,Corporation,7143506534,Studio City,34.1396,-118.3871
A10-18-0000172-TEMP,Adult-Use Medicinal,"Lizbor, Inc.",WHTC,Active,8/22/2018,Corporation,8182665144,Studio City,34.1396,-118.3871
A10-18-0000219-TEMP,Adult-Use Medicinal,"Boo Ku C.C., Inc.",Exhalence,Active,8/31/2018,Corporation,8183949094,Sun Valley,34.2279,-118.3813
A10-18-0000290-TEMP,Adult-Use Medicinal,San Fernando Valley Patients Cooperative,,Active,10/1/2018,Corporation,8182806868,Sylmar,34.3058,-118.4572
A10-18-0000249-TEMP,Adult-Use Medicinal,RDC COLLECTIVE CORP,,Active,9/7/2018,Corporation,8187570434,Tarzana,34.1495,-118.5506
M10-18-0000297-TEMP,Adult-Use Medicinal,Patients Corp,Foothill Wellness Center,Active,9/7/2018,Corporation,8183523388,Tujunga,34.2596,-118.3083
C10-18-0000016-TEMP,Adult-Use Medicinal,"ORGANIC CENTURY FARMACY, INC.",,Active,11/2/2018,Corporation,8188651700,Valley Vlg,34.1633,-118.3842
A10-18-0000196-TEMP,Adult-Use Medicinal,"The Green Earth Farmacie, Inc.",,Active,11/27/2018,Corporation,8189941945,Van Nuys,34.1899,-118.4514
A10-18-0000318-TEMP,Adult-Use Medicinal,"Vermont Herbal Center, Inc.",Airside Wellness,Active,10/24/2018,Corporation,2133215431,Van Nuys,34.1899,-118.4514
A10-18-0000310-TEMP,Adult-Use Medicinal,"VALLEY HERBAL CENTER, INC.",,Active,10/17/2018,Corporation,8187861100,Van Nuys,34.1899,-118.4514
A10-18-0000300-TEMP,Adult-Use Medicinal,"HERBAL REMEDIES CAREGIVERS, INC.",,Active,10/9/2018,Corporation,3108934856,Van Nuys,34.1899,-118.4514
A10-18-0000250-TEMP,Adult-Use Medicinal,"San Fernando Valley Medical Supply, Inc.",SFVDM,Active,9/7/2018,Corporation,8189089951,Van Nuys,34.1899,-118.4514
A10-18-0000358-TEMP,Adult-Use Medicinal,"Safe Harbor Patient's Collective, Inc.",,Active,9/7/2018,Corporation,8189020015,Van Nuys,34.1899,-118.4514
A10-18-0000217-TEMP,Adult-Use Medicinal,Kushism Inc.,,Active,8/31/2018,Corporation,8189943446,Van Nuys,34.1899,-118.4514
A10-18-0000204-TEMP,Adult-Use Medicinal,"Healthy Herbal Care, Inc.",HHC,Active,8/30/2018,Corporation,8184538085,Van Nuys,34.1899,-118.4514
A10-18-0000206-TEMP,Adult-Use Medicinal,"THE GREEN GODDESS, INC.",Green Goddess Collective,Active,11/28/2018,Corporation,3103967770,Venice,33.985,-118.4695
M10-18-0000421-TEMP,Adult-Use Medicinal,"Venice Caregiver Foundation, Inc.",MedMen Abbot Kinney,Active,10/6/2018,Corporation,3234862787,Venice,33.985,-118.4695
A10-18-0000276-TEMP,Adult-Use Medicinal,California Alternative Caregivers,CAC Venice LLC,Active,9/20/2018,Limited Liability Company,8772193809,Venice,33.985,-118.4695
A10-18-0000165-TEMP,Adult-Use Medicinal,THE COMPASSION NETWORK,MedMen Venice,Active,8/17/2018,Corporation,3234862787,Venice,33.985,-118.4695
C10-18-0000013-TEMP,Adult-Use Medicinal,"The Little Cottage Caregivers, LLC",Herbarium,Active,10/30/2018,Limited Liability Company,4246669868,W Hollywood,34.09,-118.3617
A10-18-0000190-TEMP,Adult-Use Medicinal,Delta 9 THC LLC,,Active,8/27/2018,Limited Liability Company,3104089621,Wilmington,33.7858,-118.2644
M10-18-0000211-TEMP,Medicinal,Mother Nature's Remedy,Mother Nature's Remedy,Active,11/15/2018,Corporation,8184322243,Woodland Hills,34.1654,-118.609
A10-18-0000322-TEMP,Adult-Use Medicinal,"Valley Collective Care, Inc.",,Active,10/29/2018,Corporation,8188651700,Woodland Hills,34.1654,-118.609
A10-18-0000299-TEMP,Adult-Use Medicinal,HUMBOLDT RELIEF LLC,HUMBOLDT RELIEF,Active,10/8/2018,Limited Liability Company,8183126964,Woodland Hills,34.1654,-118.609
A10-18-0000241-TEMP,Adult-Use Medicinal,AFTER CARE PATIENT'S GROUP,AFTER CARE & THE LOFT,Active,9/6/2018,Corporation,8188845638,Woodland Hills,34.1654,-118.609
