ZIP Code,NAME,Dominant Tapestry Segment Number per Zip,Dominant Tapestry Segment Code per Zip,Dominant Tapestry Segment Name per Zip,Dominant Lifemode Code,Dominant Lifemode Group Name
90001,Los Angeles,61,13B,Las Casas,13,Next Wave
90002,Los Angeles,61,13B,Las Casas,13,Next Wave
90003,Los Angeles,61,13B,Las Casas,13,Next Wave
90004,Los Angeles,60,13A,International Marketplace,13,Next Wave
90005,Los Angeles,62,13C,NeWest Residents,13,Next Wave
90006,Los Angeles,60,13A,International Marketplace,13,Next Wave
90007,Los Angeles,67,14C,Dorms to Diplomas,13,Next Wave
90008,Los Angeles,51,11A,City Strivers,13,Next Wave
90010,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90011,Los Angeles,61,13B,Las Casas,13,Next Wave
90012,Los Angeles,11,3B,Metro Renters,3,Uptown Individuals
90013,Los Angeles,45,9F,Social Security Set,9,Senior Styles
90014,Los Angeles,45,9F,Social Security Set,9,Senior Styles
90015,Los Angeles,62,13C,NeWest Residents,13,Next Wave
90016,Los Angeles,60,13A,International Marketplace,13,Next Wave
90017,Los Angeles,62,13C,NeWest Residents,13,Next Wave
90018,Los Angeles,60,13A,International Marketplace,13,Next Wave
90019,Los Angeles,60,13A,International Marketplace,13,Next Wave
90020,Los Angeles,12,3C,Trendsetters,13,Next Wave
90021,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90022,Los Angeles,61,13B,Las Casas,13,Next Wave
90023,Los Angeles,61,13B,Las Casas,13,Next Wave
90024,Los Angeles,67,14C,Dorms to Diplomas,14,Scholars and Patriots
90025,Los Angeles,11,3B,Metro Renters,3,Uptown Individuals
90026,Los Angeles,60,13A,International Marketplace,13,Next Wave
90027,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90028,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90029,Los Angeles,60,13A,International Marketplace,13,Next Wave
90031,Los Angeles,61,13B,Las Casas,13,Next Wave
90032,Los Angeles,61,13B,Las Casas,7,Ethnic Enclaves
90033,Los Angeles,61,13B,Las Casas,13,Next Wave
90034,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90035,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90036,Los Angeles,11,3B,Metro Renters,3,Uptown Individuals
90037,Los Angeles,61,13B,Las Casas,13,Next Wave
90038,Los Angeles,60,13A,International Marketplace,13,Next Wave
90039,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90040,Los Angeles,61,13B,Las Casas,13,Next Wave
90041,Los Angeles,33,8A,City Lights,8,Middle Ground
90042,Los Angeles,60,13A,International Marketplace,13,Next Wave
90043,Los Angeles,56,12A,Family Foundations,12,Hometown
90044,Los Angeles,61,13B,Las Casas,13,Next Wave
90045,Los Angeles,6,2A,Urban Chic,2,Upscale Avenues
90046,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90047,Los Angeles,56,12A,Family Foundations,12,Hometown
90048,Los Angeles,10,3A,Laptops and Lattes,3,Uptown Individuals
90049,Los Angeles,1,1A,Top Tier,1,Affluent Estates
90056,Los Angeles,5,1E,Exurbanites,1,Affluent Estates
90057,Los Angeles,62,13C,NeWest Residents,13,Next Wave
90058,Los Angeles,61,13B,Las Casas,13,Next Wave
90059,Los Angeles,61,13B,Las Casas,13,Next Wave
90061,Los Angeles,61,13B,Las Casas,13,Next Wave
90062,Los Angeles,51,11A,City Strivers,13,Next Wave
90063,Los Angeles,61,13B,Las Casas,13,Next Wave
90064,Los Angeles,6,2A,Urban Chic,2,Upscale Avenues
90065,Los Angeles,33,8A,City Lights,13,Next Wave
90066,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90067,Los Angeles,41,9B,Golden Years,9,Senior Styles
90068,Los Angeles,10,3A,Laptops and Lattes,3,Uptown Individuals
90069,West Hollywood,12,3C,Trendsetters,3,Uptown Individuals
90071,Los Angeles,68,15,Unclassified,#N/A,#N/A
90077,Los Angeles,1,1A,Top Tier,1,Affluent Estates
90089,Los Angeles,67,14C,Dorms to Diplomas,14,Scholars and Patriots
90094,Playa Vista,10,3A,Laptops and Lattes,3,Uptown Individuals
90201,Bell Gardens,61,13B,Las Casas,13,Next Wave
90210,Beverly Hills,1,1A,Top Tier,1,Affluent Estates
90211,Beverly Hills,33,8A,City Lights,8,Middle Ground
90212,Beverly Hills,6,2A,Urban Chic,2,Upscale Avenues
90220,Compton,61,13B,Las Casas,13,Next Wave
90221,Compton,61,13B,Las Casas,13,Next Wave
90222,Compton,61,13B,Las Casas,13,Next Wave
90230,Culver City,33,8A,City Lights,2,Upscale Avenues
90232,Culver City,12,3C,Trendsetters,3,Uptown Individuals
90240,Downey,28,7B,Urban Villages,7,Ethnic Enclaves
90241,Downey,28,7B,Urban Villages,7,Ethnic Enclaves
90242,Downey,28,7B,Urban Villages,7,Ethnic Enclaves
90245,El Segundo,6,2A,Urban Chic,2,Upscale Avenues
90247,Gardena,60,13A,International Marketplace,13,Next Wave
90248,Gardena,28,7B,Urban Villages,5,GenXurban
90249,Gardena,56,12A,Family Foundations,2,Upscale Avenues
90250,Hawthorne,60,13A,International Marketplace,13,Next Wave
90254,Hermosa Beach,10,3A,Laptops and Lattes,3,Uptown Individuals
90255,Huntington Park,61,13B,Las Casas,13,Next Wave
90260,Lawndale,60,13A,International Marketplace,13,Next Wave
90262,Lynwood,61,13B,Las Casas,13,Next Wave
90263,Malibu,68,15,Unclassified,#N/A,#N/A
90265,Malibu,1,1A,Top Tier,1,Affluent Estates
90266,Manhattan Beach,1,1A,Top Tier,1,Affluent Estates
90270,Maywood,61,13B,Las Casas,13,Next Wave
90272,Pacific Palisades,1,1A,Top Tier,1,Affluent Estates
90274,Palos Verdes Peninsula,1,1A,Top Tier,1,Affluent Estates
90275,Rancho Palos Verdes,1,1A,Top Tier,1,Affluent Estates
90277,Redondo Beach,6,2A,Urban Chic,2,Upscale Avenues
90278,Redondo Beach,6,2A,Urban Chic,2,Upscale Avenues
90280,South Gate,61,13B,Las Casas,13,Next Wave
90290,Topanga,6,2A,Urban Chic,2,Upscale Avenues
90291,Venice,12,3C,Trendsetters,3,Uptown Individuals
90292,Marina Del Rey,10,3A,Laptops and Lattes,3,Uptown Individuals
90293,Playa Del Rey,10,3A,Laptops and Lattes,3,Uptown Individuals
90301,Inglewood,60,13A,International Marketplace,13,Next Wave
90302,Inglewood,51,11A,City Strivers,11,Midtown Singles
90303,Inglewood,61,13B,Las Casas,13,Next Wave
90304,Inglewood,61,13B,Las Casas,13,Next Wave
90305,Inglewood,56,12A,Family Foundations,12,Hometown
90401,Santa Monica,11,3B,Metro Renters,3,Uptown Individuals
90402,Santa Monica,1,1A,Top Tier,1,Affluent Estates
90403,Santa Monica,10,3A,Laptops and Lattes,3,Uptown Individuals
90404,Santa Monica,12,3C,Trendsetters,3,Uptown Individuals
90405,Santa Monica,10,3A,Laptops and Lattes,3,Uptown Individuals
90501,Torrance,8,2C,Pacific Heights,13,Next Wave
90502,Torrance,8,2C,Pacific Heights,2,Upscale Avenues
90503,Torrance,8,2C,Pacific Heights,2,Upscale Avenues
90504,Torrance,8,2C,Pacific Heights,2,Upscale Avenues
90505,Torrance,8,2C,Pacific Heights,2,Upscale Avenues
90601,Whittier,60,13A,International Marketplace,2,Upscale Avenues
90602,Whittier,60,13A,International Marketplace,13,Next Wave
90603,Whittier,7,2B,Pleasantville,2,Upscale Avenues
90604,Whittier,28,7B,Urban Villages,7,Ethnic Enclaves
90605,Whittier,28,7B,Urban Villages,7,Ethnic Enclaves
90606,Whittier,28,7B,Urban Villages,7,Ethnic Enclaves
90620,Buena Park,28,7B,Urban Villages,2,Upscale Avenues
90621,Buena Park,60,13A,International Marketplace,13,Next Wave
90623,La Palma,8,2C,Pacific Heights,2,Upscale Avenues
90630,Cypress,8,2C,Pacific Heights,2,Upscale Avenues
90631,La Habra,7,2B,Pleasantville,7,Ethnic Enclaves
90638,La Mirada,7,2B,Pleasantville,2,Upscale Avenues
90640,Montebello,28,7B,Urban Villages,13,Next Wave
90650,Norwalk,28,7B,Urban Villages,7,Ethnic Enclaves
90660,Pico Rivera,28,7B,Urban Villages,7,Ethnic Enclaves
90670,Santa Fe Springs,28,7B,Urban Villages,7,Ethnic Enclaves
90680,Stanton,28,7B,Urban Villages,7,Ethnic Enclaves
90701,Artesia,8,2C,Pacific Heights,2,Upscale Avenues
90703,Cerritos,8,2C,Pacific Heights,2,Upscale Avenues
90704,Avalon,60,13A,International Marketplace,13,Next Wave
90706,Bellflower,60,13A,International Marketplace,13,Next Wave
90710,Harbor City,60,13A,International Marketplace,13,Next Wave
90712,Lakewood,7,2B,Pleasantville,2,Upscale Avenues
90713,Lakewood,7,2B,Pleasantville,2,Upscale Avenues
90715,Lakewood,33,8A,City Lights,7,Ethnic Enclaves
90716,Hawaiian Gardens,61,13B,Las Casas,13,Next Wave
90717,Lomita,33,8A,City Lights,8,Middle Ground
90720,Los Alamitos,1,1A,Top Tier,1,Affluent Estates
90723,Paramount,61,13B,Las Casas,13,Next Wave
90731,San Pedro,60,13A,International Marketplace,13,Next Wave
90732,San Pedro,7,2B,Pleasantville,2,Upscale Avenues
90740,Seal Beach,42,9C,The Elders,9,Senior Styles
90742,Sunset Beach,6,2A,Urban Chic,2,Upscale Avenues
90743,Surfside,6,2A,Urban Chic,2,Upscale Avenues
90744,Wilmington,61,13B,Las Casas,13,Next Wave
90745,Carson,8,2C,Pacific Heights,2,Upscale Avenues
90746,Carson,7,2B,Pleasantville,2,Upscale Avenues
90747,Carson,7,2B,Pleasantville,2,Upscale Avenues
90755,Signal Hill,33,8A,City Lights,8,Middle Ground
90802,Long Beach,53,11C,Metro Fusion,11,Midtown Singles
90803,Long Beach,10,3A,Laptops and Lattes,3,Uptown Individuals
90804,Long Beach,53,11C,Metro Fusion,11,Midtown Singles
90805,Long Beach,28,7B,Urban Villages,13,Next Wave
90806,Long Beach,63,13D,Fresh Ambitions,13,Next Wave
90807,Long Beach,33,8A,City Lights,8,Middle Ground
90808,Long Beach,7,2B,Pleasantville,2,Upscale Avenues
90810,Long Beach,28,7B,Urban Villages,7,Ethnic Enclaves
90813,Long Beach,63,13D,Fresh Ambitions,13,Next Wave
90814,Long Beach,12,3C,Trendsetters,3,Uptown Individuals
90815,Long Beach,7,2B,Pleasantville,2,Upscale Avenues
91001,Altadena,7,2B,Pleasantville,2,Upscale Avenues
91006,Arcadia,8,2C,Pacific Heights,2,Upscale Avenues
91007,Arcadia,8,2C,Pacific Heights,2,Upscale Avenues
91008,Duarte,5,1E,Exurbanites,1,Affluent Estates
91010,Duarte,28,7B,Urban Villages,7,Ethnic Enclaves
91011,La Canada Flintridge,1,1A,Top Tier,1,Affluent Estates
91016,Monrovia,33,8A,City Lights,2,Upscale Avenues
91020,Montrose,33,8A,City Lights,8,Middle Ground
91023,Mount Wilson,6,2A,Urban Chic,1,Affluent Estates
91024,Sierra Madre,6,2A,Urban Chic,2,Upscale Avenues
91030,South Pasadena,33,8A,City Lights,2,Upscale Avenues
91040,Sunland,7,2B,Pleasantville,2,Upscale Avenues
91042,Tujunga,7,2B,Pleasantville,2,Upscale Avenues
91101,Pasadena,11,3B,Metro Renters,3,Uptown Individuals
91103,Pasadena,60,13A,International Marketplace,13,Next Wave
91104,Pasadena,33,8A,City Lights,8,Middle Ground
91105,Pasadena,6,2A,Urban Chic,2,Upscale Avenues
91106,Pasadena,11,3B,Metro Renters,3,Uptown Individuals
91107,Pasadena,12,3C,Trendsetters,2,Upscale Avenues
91108,San Marino,1,1A,Top Tier,1,Affluent Estates
91201,Glendale,36,8D,Downtown Melting Pot,8,Middle Ground
91202,Glendale,33,8A,City Lights,8,Middle Ground
91203,Glendale,36,8D,Downtown Melting Pot,8,Middle Ground
91204,Glendale,60,13A,International Marketplace,13,Next Wave
91205,Glendale,36,8D,Downtown Melting Pot,8,Middle Ground
91206,Glendale,36,8D,Downtown Melting Pot,8,Middle Ground
91207,Glendale,1,1A,Top Tier,1,Affluent Estates
91208,Glendale,1,1A,Top Tier,1,Affluent Estates
91210,Glendale,36,8D,Downtown Melting Pot,8,Middle Ground
91214,La Crescenta,8,2C,Pacific Heights,1,Affluent Estates
91301,Agoura Hills,4,1D,Savvy Suburbanites,1,Affluent Estates
91302,Calabasas,1,1A,Top Tier,1,Affluent Estates
91303,Canoga Park,60,13A,International Marketplace,13,Next Wave
91304,Canoga Park,60,13A,International Marketplace,13,Next Wave
91306,Winnetka,60,13A,International Marketplace,13,Next Wave
91307,West Hills,7,2B,Pleasantville,2,Upscale Avenues
91311,Chatsworth,7,2B,Pleasantville,2,Upscale Avenues
91316,Encino,38,8F,Old and Newcomers,8,Middle Ground
91320,Newbury Park,7,2B,Pleasantville,1,Affluent Estates
91321,Newhall,62,13C,NeWest Residents,13,Next Wave
91324,Northridge,33,8A,City Lights,2,Upscale Avenues
91325,Northridge,60,13A,International Marketplace,13,Next Wave
91330,Northridge,67,14C,Dorms to Diplomas,14,Scholars and Patriots
91331,Pacoima,28,7B,Urban Villages,7,Ethnic Enclaves
91335,Reseda,28,7B,Urban Villages,7,Ethnic Enclaves
91342,Sylmar,28,7B,Urban Villages,7,Ethnic Enclaves
91343,North Hills,7,2B,Pleasantville,13,Next Wave
91344,Granada Hills,7,2B,Pleasantville,2,Upscale Avenues
91350,Santa Clarita,4,1D,Savvy Suburbanites,1,Affluent Estates
91351,Canyon Country,28,7B,Urban Villages,7,Ethnic Enclaves
91352,Sun Valley,61,13B,Las Casas,13,Next Wave
91354,Valencia,3,1C,Boomburbs,1,Affluent Estates
91355,Valencia,9,2D,Enterprising Professionals,2,Upscale Avenues
91356,Tarzana,1,1A,Top Tier,1,Affluent Estates
91360,Thousand Oaks,7,2B,Pleasantville,2,Upscale Avenues
91361,Westlake Village,5,1E,Exurbanites,1,Affluent Estates
91362,Thousand Oaks,1,1A,Top Tier,1,Affluent Estates
91364,Woodland Hills,6,2A,Urban Chic,2,Upscale Avenues
91367,Woodland Hills,5,1E,Exurbanites,2,Upscale Avenues
91377,Oak Park,4,1D,Savvy Suburbanites,1,Affluent Estates
91381,Stevenson Ranch,9,2D,Enterprising Professionals,1,Affluent Estates
91384,Castaic,68,15,Unclassified,1,Affluent Estates
91387,Canyon Country,33,8A,City Lights,1,Affluent Estates
91390,Santa Clarita,3,1C,Boomburbs,1,Affluent Estates
91401,Van Nuys,60,13A,International Marketplace,13,Next Wave
91402,Panorama City,61,13B,Las Casas,13,Next Wave
91403,Sherman Oaks,12,3C,Trendsetters,3,Uptown Individuals
91405,Van Nuys,60,13A,International Marketplace,13,Next Wave
91406,Van Nuys,60,13A,International Marketplace,13,Next Wave
91411,Van Nuys,60,13A,International Marketplace,13,Next Wave
91423,Sherman Oaks,12,3C,Trendsetters,3,Uptown Individuals
91436,Encino,1,1A,Top Tier,1,Affluent Estates
91501,Burbank,33,8A,City Lights,8,Middle Ground
91502,Burbank,60,13A,International Marketplace,13,Next Wave
91504,Burbank,7,2B,Pleasantville,8,Middle Ground
91505,Burbank,33,8A,City Lights,8,Middle Ground
91506,Burbank,7,2B,Pleasantville,2,Upscale Avenues
91601,North Hollywood,12,3C,Trendsetters,3,Uptown Individuals
91602,North Hollywood,12,3C,Trendsetters,3,Uptown Individuals
91604,Studio City,6,2A,Urban Chic,3,Uptown Individuals
91605,North Hollywood,28,7B,Urban Villages,13,Next Wave
91606,North Hollywood,60,13A,International Marketplace,13,Next Wave
91607,Valley Village,12,3C,Trendsetters,3,Uptown Individuals
91701,Rancho Cucamonga,4,1D,Savvy Suburbanites,1,Affluent Estates
91702,Azusa,28,7B,Urban Villages,7,Ethnic Enclaves
91706,Baldwin Park,28,7B,Urban Villages,7,Ethnic Enclaves
91708,Chino,3,1C,Boomburbs,1,Affluent Estates
91709,Chino Hills,2,1B,Professional Pride,1,Affluent Estates
91710,Chino,7,2B,Pleasantville,7,Ethnic Enclaves
91711,Claremont,5,1E,Exurbanites,1,Affluent Estates
91722,Covina,28,7B,Urban Villages,7,Ethnic Enclaves
91723,Covina,60,13A,International Marketplace,13,Next Wave
91724,Covina,7,2B,Pleasantville,2,Upscale Avenues
91730,Rancho Cucamonga,9,2D,Enterprising Professionals,2,Upscale Avenues
91731,El Monte,61,13B,Las Casas,13,Next Wave
91732,El Monte,61,13B,Las Casas,7,Ethnic Enclaves
91733,South El Monte,61,13B,Las Casas,13,Next Wave
91737,Rancho Cucamonga,4,1D,Savvy Suburbanites,1,Affluent Estates
91739,Rancho Cucamonga,2,1B,Professional Pride,1,Affluent Estates
91740,Glendora,7,2B,Pleasantville,2,Upscale Avenues
91741,Glendora,7,2B,Pleasantville,1,Affluent Estates
91743,Guasti,29,7C,American Dreamers,7,Ethnic Enclaves
91744,La Puente,28,7B,Urban Villages,7,Ethnic Enclaves
91745,Hacienda Heights,8,2C,Pacific Heights,2,Upscale Avenues
91746,La Puente,28,7B,Urban Villages,7,Ethnic Enclaves
91748,Rowland Heights,8,2C,Pacific Heights,2,Upscale Avenues
91750,La Verne,33,8A,City Lights,1,Affluent Estates
91752,Mira Loma,28,7B,Urban Villages,7,Ethnic Enclaves
91754,Monterey Park,8,2C,Pacific Heights,2,Upscale Avenues
91755,Monterey Park,8,2C,Pacific Heights,2,Upscale Avenues
91759,Mt Baldy,4,1D,Savvy Suburbanites,1,Affluent Estates
91761,Ontario,28,7B,Urban Villages,7,Ethnic Enclaves
91762,Ontario,28,7B,Urban Villages,7,Ethnic Enclaves
91763,Montclair,28,7B,Urban Villages,7,Ethnic Enclaves
91764,Ontario,28,7B,Urban Villages,7,Ethnic Enclaves
91765,Diamond Bar,8,2C,Pacific Heights,2,Upscale Avenues
91766,Pomona,61,13B,Las Casas,13,Next Wave
91767,Pomona,28,7B,Urban Villages,7,Ethnic Enclaves
91768,Pomona,28,7B,Urban Villages,7,Ethnic Enclaves
91770,Rosemead,28,7B,Urban Villages,7,Ethnic Enclaves
91773,San Dimas,7,2B,Pleasantville,2,Upscale Avenues
91775,San Gabriel,8,2C,Pacific Heights,2,Upscale Avenues
91776,San Gabriel,8,2C,Pacific Heights,2,Upscale Avenues
91780,Temple City,8,2C,Pacific Heights,2,Upscale Avenues
91784,Upland,5,1E,Exurbanites,1,Affluent Estates
91786,Upland,60,13A,International Marketplace,8,Middle Ground
91789,Walnut,8,2C,Pacific Heights,2,Upscale Avenues
91790,West Covina,28,7B,Urban Villages,7,Ethnic Enclaves
91791,West Covina,8,2C,Pacific Heights,2,Upscale Avenues
91792,West Covina,8,2C,Pacific Heights,2,Upscale Avenues
91801,Alhambra,36,8D,Downtown Melting Pot,8,Middle Ground
91803,Alhambra,36,8D,Downtown Melting Pot,8,Middle Ground
91901,Alpine,5,1E,Exurbanites,1,Affluent Estates
91902,Bonita,7,2B,Pleasantville,2,Upscale Avenues
91905,Boulevard,23,6C,The Great Outdoors,6,Cozy Country Living
91906,Campo,23,6C,The Great Outdoors,6,Cozy Country Living
91910,Chula Vista,7,2B,Pleasantville,2,Upscale Avenues
91911,Chula Vista,28,7B,Urban Villages,7,Ethnic Enclaves
91913,Chula Vista,3,1C,Boomburbs,1,Affluent Estates
91914,Chula Vista,3,1C,Boomburbs,1,Affluent Estates
91915,Chula Vista,3,1C,Boomburbs,1,Affluent Estates
91916,Descanso,23,6C,The Great Outdoors,6,Cozy Country Living
91917,Dulzura,23,6C,The Great Outdoors,6,Cozy Country Living
91931,Guatay,25,6E,Rural Resort Dwellers,6,Cozy Country Living
91932,Imperial Beach,60,13A,International Marketplace,13,Next Wave
91934,Jacumba,23,6C,The Great Outdoors,6,Cozy Country Living
91935,Jamul,7,2B,Pleasantville,1,Affluent Estates
91941,La Mesa,5,1E,Exurbanites,8,Middle Ground
91942,La Mesa,44,9E,Retirement Communities,8,Middle Ground
91945,Lemon Grove,28,7B,Urban Villages,7,Ethnic Enclaves
91948,Mount Laguna,25,6E,Rural Resort Dwellers,6,Cozy Country Living
91950,National City,60,13A,International Marketplace,13,Next Wave
91962,Pine Valley,16,5A,Comfortable Empty Nesters,5,GenXurban
91963,Potrero,50,10E,Rural Bypasses,10,Rustic Outposts
91977,Spring Valley,28,7B,Urban Villages,7,Ethnic Enclaves
91978,Spring Valley,7,2B,Pleasantville,2,Upscale Avenues
91980,Tecate,50,10E,Rural Bypasses,10,Rustic Outposts
92003,Bonsall,23,6C,The Great Outdoors,6,Cozy Country Living
92004,Borrego Springs,25,6E,Rural Resort Dwellers,6,Cozy Country Living
92007,Cardiff By The Sea,6,2A,Urban Chic,2,Upscale Avenues
92008,Carlsbad,5,1E,Exurbanites,2,Upscale Avenues
92009,Carlsbad,3,1C,Boomburbs,1,Affluent Estates
92010,Carlsbad,13,4A,Soccer Moms,2,Upscale Avenues
92011,Carlsbad,6,2A,Urban Chic,2,Upscale Avenues
92014,Del Mar,5,1E,Exurbanites,1,Affluent Estates
92019,El Cajon,4,1D,Savvy Suburbanites,1,Affluent Estates
92020,El Cajon,53,11C,Metro Fusion,11,Midtown Singles
92021,El Cajon,53,11C,Metro Fusion,8,Middle Ground
92024,Encinitas,6,2A,Urban Chic,2,Upscale Avenues
92025,Escondido,60,13A,International Marketplace,13,Next Wave
92026,Escondido,7,2B,Pleasantville,2,Upscale Avenues
92027,Escondido,28,7B,Urban Villages,7,Ethnic Enclaves
92028,Fallbrook,5,1E,Exurbanites,1,Affluent Estates
92029,Escondido,5,1E,Exurbanites,1,Affluent Estates
92036,Julian,23,6C,The Great Outdoors,6,Cozy Country Living
92037,La Jolla,1,1A,Top Tier,1,Affluent Estates
92040,Lakeside,7,2B,Pleasantville,2,Upscale Avenues
92054,Oceanside,62,13C,NeWest Residents,8,Middle Ground
92055,Camp Pendleton,65,14A,Military Proximity,14,Scholars and Patriots
92056,Oceanside,7,2B,Pleasantville,2,Upscale Avenues
92057,Oceanside,7,2B,Pleasantville,2,Upscale Avenues
